epoch,train_pr,pr_auc,macro_f1,gap,loss
1,0.3152,0.316,0.4646,-0.0008,0.0565
20,0.6556,0.6339,0.4646,0.0217,0.0336
40,0.7307,0.6967,0.5921,0.034,0.0279
60,0.8052,0.7599,0.7422,0.0453,0.0242
80,0.8923,0.8161,0.8404,0.0762,0.0196
100,0.9571,0.8692,0.8772,0.0879,0.0146
120,0.9856,0.9013,0.9014,0.0843,0.0107
140,0.994,0.9165,0.9104,0.0775,0.0083
160,0.9973,0.9234,0.9241,0.0739,0.0071
180,0.9987,0.9261,0.9299,0.0726,0.0056
200,0.9993,0.9287,0.9267,0.0706,0.0054
220,0.9995,0.9309,0.9289,0.0686,0.0047
240,0.9996,0.9311,0.9276,0.0685,0.0049
260,0.9998,0.9331,0.9339,0.0667,0.004
280,0.9999,0.932,0.9322,0.0679,0.0038
300,0.9999,0.9334,0.935,0.0665,0.0038
320,0.9999,0.9335,0.9352,0.0664,0.0035
340,0.9999,0.9338,0.9325,0.0661,0.0036
360,0.9999,0.9339,0.933,0.066,0.0033
380,0.9999,0.934,0.9331,0.0659,0.0037
400,0.9999,0.934,0.9331,0.0659,0.0033
