epoch,pr_auc,macro_f1,loss
1,0.2555,0.4646,0.0557
20,0.5686,0.4646,0.036
40,0.622,0.5023,0.0299
60,0.7197,0.7026,0.0256
80,0.7905,0.8193,0.0211
100,0.8528,0.8642,0.0161
120,0.8925,0.8965,0.0122
140,0.9068,0.9091,0.0088
160,0.9161,0.9229,0.007
180,0.9198,0.9266,0.0059
200,0.9222,0.9325,0.0055
220,0.9257,0.9318,0.0048
240,0.9255,0.9313,0.004
260,0.928,0.934,0.0042
280,0.9285,0.933,0.0042
300,0.9283,0.9335,0.0038
320,0.9288,0.9334,0.0035
340,0.9291,0.9333,0.0034
360,0.9288,0.9329,0.0034
380,0.9289,0.9332,0.0033
400,0.9289,0.9332,0.0032
