epoch,PR-AUC,Macro-F1,loss
1,0.1876,0.4646,0.0525
20,0.5723,0.4762,0.0412
40,0.6596,0.7447,0.0351
60,0.6775,0.761,0.0333
80,0.6825,0.759,0.0331
100,0.7141,0.7103,0.0294
120,0.7384,0.728,0.0257
140,0.7696,0.7808,0.0224
160,0.797,0.8197,0.0198
180,0.813,0.8307,0.0177
200,0.8218,0.8399,0.0169
220,0.8255,0.8431,0.0164
240,0.8262,0.8431,0.0162
260,0.8545,0.8617,0.0133
280,0.8816,0.8856,0.0111
300,0.8985,0.8969,0.0087
320,0.909,0.908,0.0071
340,0.915,0.9103,0.0063
360,0.9205,0.9205,0.0057
380,0.9228,0.9157,0.0049
400,0.9242,0.9079,0.0047
