epoch,PR-AUC,Macro-F1,loss
1,0.2016,0.5847,0.0552
20,0.4997,0.6735,0.0436
40,0.5514,0.7142,0.0406
60,0.5813,0.7212,0.0384
80,0.6014,0.7296,0.0375
100,0.6773,0.7587,0.0321
120,0.7084,0.7656,0.0297
140,0.7177,0.7721,0.0279
160,0.7327,0.7729,0.0267
180,0.7421,0.7752,0.0255
200,0.7485,0.7834,0.025
220,0.7512,0.7877,0.025
240,0.7517,0.784,0.0244
260,0.7546,0.8068,0.0229
280,0.7866,0.8215,0.0204
300,0.8028,0.8025,0.0183
320,0.8275,0.8099,0.0166
340,0.8512,0.858,0.0143
360,0.8633,0.8463,0.0127
380,0.8752,0.8805,0.0113
400,0.8867,0.8857,0.0108
